,Response,Occurrences
0,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (32): حَدَائِقَ وَأَعْنَابًا (جَعَلَ)
Ayah (33): وَكَوَاعِبَ أَتْرَابًا (جَعَلَ)
Ayah (34): وَكَأْسًا دِهَاقًا (جَعَلَ)

Total occurrences found: 9",9
1,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Total occurrences found: 9",9
2,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (14): وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Total occurrences found: 9",9
3,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Total occurrences found: 9",9
4,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (6): أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا (جَعَلَ)
Ayah (7): وَالْجِبَالَ أَوْتَادًا (جَعَلَ)
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (20): وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا (جَعَلَ)
Total occurrences found: 14",14
5,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (32): حَدَائِقَ وَأَعْنَابًا (جَعَلَ)
Ayah (33): وَكَوَاعِبَ أَتْرَابًا (جَعَلَ)
Ayah (34): وَكَأْسًا دِهَاقًا (جَعَلَ)

Total occurrences found: 9",9
6,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (14): وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا (جَعَلَ)
Ayah (22): لِّلطَّاغِينَ مَآبًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (25): إِلَّا حَمِيمًا وَغَسَّاقًا (جَعَلَ)
Ayah (31): إِنَّ لِلْمُتَّقِينَ مَفَازًا (جَعَلَ)
Ayah (32): حَدَائِقَ وَأَعْنَابًا (جَعَلَ)
Ayah (33): وَكَوَاعِبَ أَتْرَابًا (جَعَلَ)
Ayah (34): وَكَأْسًا دِهَاقًا (جَعَلَ)
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا (جَعَلَ)

Total occurrences found: 15",15
7,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (14): وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (21): إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا (جَعَلَ)
Ayah (22): لِّلطَّاغِينَ مَآبًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (25): إِلَّا حَمِيمًا وَغَسَّاقًا (جَعَلَ)
Ayah (31): إِنَّ لِلْمُتَّقِينَ مَفَازًا (جَعَلَ)
Ayah (32): حَدَائِقَ وَأَعْنَابًا (جَعَلَ)
Ayah (33): وَكَوَاعِبَ أَتْرَابًا (جَعَلَ)
Ayah (34): وَكَأْسًا دِهَاقًا (جَعَلَ)
Ayah (36): جَزَاءً مِّن رَّبِّكَ عَطَاءً حِسَابًا (جَعَلَ)

Total occurrences found: 15",15
8,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (6): أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا (جَعَلَ)
Ayah (7): وَالْجِبَالَ أَوْتَادًا (جَعَلَ)
Ayah (8): وَخَلَقْنَاكُمْ أَزْوَاجًا (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (20): وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Ayah (30): فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا (جَعَلَ)
Total occurrences found: 14",14
9,"Occurrences found:
Ayah (3): الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ (جَعَلَ)
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا (جَعَلَ)
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا (جَعَلَ)
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا (جَعَلَ)
Ayah (12): وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا (جَعَلَ)
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا (جَعَلَ)
Ayah (15): لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا (جَعَلَ)
Ayah (16): وَجَنَّاتٍ أَلْفَافًا (جَعَلَ)
Ayah (24): لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا (جَعَلَ)
Ayah (26): جَزَاءً وِفَاقًا (جَعَلَ)
Total occurrences found: 9",9
