,Response,Occurrences
0,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
1,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
2,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
3,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
4,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
5,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
6,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
7,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
8,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
9,"Ayah (verse number): verse (with keyword surrounded by parenthesis)
1: عَمَّ يَتَسَاءَلُونَ
2: عَنِ النَّبَإِ الْعَظِيمِ
5: ثُمَّ كَلَّا سَيَعْلَمُونَ
17: إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا
18: يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا
24: لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
25: إِلَّا حَمِيمًا وَغَسَّاقًا
30: فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
39: ذَٰلِكَ الْيَوْمُ الْحَقُّ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ مَآبًا

Number of occurrences: 8",8
