,Response,Occurrences
0,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
1,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
2,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
3,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
4,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
5,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
6,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
7,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
8,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
9,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
10,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
11,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
12,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
13,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
14,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
15,"Occurrences found:
Ayah (9): وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا
Ayah (10): وَجَعَلْنَا اللَّيْلَ لِبَاسًا
Ayah (11): وَجَعَلْنَا النَّهَارَ مَعَاشًا
Ayah (13): وَجَعَلْنَا سِرَاجًا وَهَّاجًا

Total occurrences: 4",4
